INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.002036000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002107000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004456000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001995000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004103000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002065000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004220000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002139000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004259000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002041000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004347000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002121000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004540000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002108000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004407000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002039000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004099000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001997000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004000000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001938000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004024000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001993000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004048000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002017000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004301000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001970000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004026000
